range,word,meaning
target1900,annual,年1回の，例年の；1年間の
target1900,contemporary,現代の；同時代の；同年輩の
target1900,contrary,（～と）反対の（to）
target1900,strict,（規則などが）厳しい；厳格な
target1900,civil,市民の；民間の；民事の（⇔ criminal 刑事の）
target1900,odd,奇妙な（≒ strange）；奇数の
target1900,superior,よりすぐれた（⇔ inferior ⇒ 1092）
target1900,sensitive,敏感な；神経質な；微妙な
target1900,violent,（人・気質などが）激しい；暴力的な
target1900,virtual,仮想の；事実上の
target1900,immediate,即座の；当面の；すぐそばの；直接の
target1900,crucial,重要な
target1900,interpret,を解釈する；（を）通訳する
target1900,translate,を翻訳する；を（～に）変える（into）
target1900,concentrate,（を）集中する
target1900,request,に（...するように）頼む（to do）；を要請する
target1900,criticize,を批判する；を批評する
target1900,overcome,を克服する
target1900,obtain,を得る
target1900,inform,に知らせる；情報を提供する
target1900,ensure,を確実にする（≒ make sure）；を守る
target1900,grant,（人）に（許可・権利など）を与える；を認める
target1900,freeze,凍る；を凍らせる；（計画・資金など）を凍結する
target1900,oppose,に反対する；を対抗［対比］させる
target1900,differ,異なる
target1900,hate,をひどく嫌う；を残念に思う
target1900,emphasize,を強調する；を重視する
target1900,employ,を雇う（≒ give ～ a job）；を使う（≒ use）
target1900,credit,（功績など）を（～に）帰する（to）；を信じる
target1900,transform,を変える；変わる
target1900,construct,を建設する（＝ build）；を構成する
target1900,arise,生じる
target1900,beat,を打ち負かす；（を）打つ，たたく
target1900,regret,を後悔する
target1900,alter,を変える；変わる（≒ change）
target1900,absorb,を吸収する；を併合する；を夢中にさせる
target1900,disappoint,を失望させる；（希望など）をくじく
target1900,cure,を治す；を取り除く；（病気が）治る
target1900,transport,を輸送する；を運ぶ
target1900,rush,急いで行く；性急に行動する；をせき立てる
target1900,blame,を責める；の責任を負わせる
target1900,ban,を（法的に）禁止する；を締め出す
target1900,fascinate,を魅了する
target1900,recover,回復する；を取り戻す
target1900,celebrate,を祝う；を挙行する
target1900,manufacture,を製造する；をでっち上げる
target1900,interact,影響し合う；相互に作用する
target1900,arrange,の段取りをつける；を手配する；を配置する
target1900,adjust,を調整する；を適合させる；順応する
target1900,confirm,を確認する；を裏づける
target1900,insight,見識，理解（力）；洞察力
target1900,innovation,革；機軸
target1900,budget,予算；経費
target1900,fee,料金；謝礼
target1900,expense,〔～s〕経費；費用；犠牲
target1900,debt,借金，負債；恩義
target1900,loan,貸付金，融資；貸すこと
target1900,duty,義務；〔しばしば～ties〕職務；関税
target1900,alarm,不安，恐れ；警報装置
target1900,emergency,緊急（事態）
target1900,minister,大臣；（プロテスタント系の）聖職者
target1900,candidate,（～の）候補（者）（for）；志願者
target1900,corporation,（大）企業；法人
target1900,stereotype,固定観念；決まり文句
target1900,depression,憂うつ；うつ病；不況；低気圧
target1900,weapon,兵器，武器（≒ arms）
target1900,immigration,（他国からの）移民，移住；入国管理
target1900,barrier,（～に対する）障壁（against / to）；防壁
target1900,mood,気分；機嫌；雰囲気
target1900,routine,決まり切った仕事；いつもの手順
target1900,discipline,規律，しつけ；訓練；懲戒；学問分野
target1900,myth,作り話；神話
target1900,hypothesis,仮説；憶測
target1900,physician,【主に米】 医師（≒ doctor）；内科医
target1900,client,顧客（≒ customer）；（弁護士などの）依頼人
target1900,colony,植民地；集団居住地；（動植物の）コロニー
target1900,statistics,統計；統計学
target1900,grain,穀物；粒；きめ
target1900,ingredient,材料，成分；（成功の）要因
target1900,treasure,宝物，財宝；財産
target1900,contract,契約（書）；協定
target1900,welfare,福祉，幸福
target1900,prime,主要な，最も重要な；最適な；極上の
target1900,curious,好奇心の強い；奇妙な
target1900,distinct,明らかに異なる；明瞭な
target1900,anxious,心配して；切望して
target1900,vital,必要不可欠な；活気のある；生命にかかわる
target1900,conventional,従来の；月並みな
target1900,abstract,抽象的な（⇔ concrete ⇒ 783）
target1900,minor,重要でない；小さい（⇔ major ⇒ 88）
target1900,extraordinary,並はずれた；異常な，驚くべき
target1900,stable,安定した（⇔ unstable 不安定な）；動じない
target1900,flexible,融通の利く，柔軟な
target1900,brief,簡潔な；短い
target1900,aggressive,攻撃的な；意欲的な
target1900,visible,（目に）見える（⇔ invisible 見えない）；明白な
target1900,ethnic,民族の，人種の；民族特有の
target1900,alien,（～にとって）異質の（to）；外国の；宇宙人の
target1900,initial,初めの
target1900,exact,正確な；まさにその
target1900,precise,正確な（≒ exact）；精密な；まさにその
target1900,latter,後者の（⇔ former 前者の），後半の
target1900,commit,〔commit oneselfまたは受身形で〕献身する；（罪など）を犯す；を投入する
target1900,stimulate,を刺激する
target1900,enhance,（価値など）を高める，増す
target1900,pursue,を追求する；に従事する
target1900,react,反応する；化学反応を起こす
target1900,stare,じっと見る；を見つめる
target1900,abandon,を捨てる；を放棄する，断念する
target1900,quit,をやめる；（場所）を去る
target1900,capture,をとらえる；をとりこにする
target1900,transfer,を移す；を伝える；移る；乗り換える
target1900,bother,を悩ます；（～を）気にかける（about / with）
target1900,persuade,を説得する；に確信させる
target1900,rent,を賃借りする；を賃貸しする
target1900,breed,を繁殖させる，育てる；繁殖する
target1900,invest,（を）投資する；に（～を）与える（with）
target1900,reserve,を予約する；を取っておく；（判断など）を保留する
target1900,trace,（足跡・起源など）をたどる；を捜し出す
target1900,illustrate,を説明する；に挿絵を入れる
target1900,convey,を伝える；を運ぶ，運搬する
target1900,attach,を（取り）付ける；を付与する
target1900,stretch,を伸ばす；を広げる；伸びる；及ぶ
target1900,puzzle,を当惑させる
target1900,disturb,をかき乱す；を妨害する；を動揺させる
target1900,crash,衝突する，墜落する；をぶつけて壊す
target1900,cope,うまく処理する
target1900,permit,を許可する（≒ allow）（⇔ forbid ⇒ 1013）
target1900,impress,を感動させる；に印象を与える
target1900,suspect,ではないかと思う；（人）を疑う
target1900,upset,を動揺させる；をだめにする
target1900,frighten,（人）を怖がらせる
target1900,import,を輸入する（⇔ export （を）輸出する）；を取り込む
target1900,export,（を）輸出する（⇔ import を輸入する）
target1900,investigate,を調査する；を究明する；（～を）調査する（into）
target1900,monitor,を監視する；を傍受する
target1900,calculate,を計算する；を予測する
target1900,eliminate,を取り除く
target1900,ease,を軽減する；和らぐ；緩む
target1900,launch,を開始する；を売り出す；を発射する
target1900,sequence,連続；一連（のもの）
target1900,therapy,療法；心理療法
target1900,symptom,症状；兆候（≒ sign）
target1900,incident,出来事，事件；紛争
target1900,witness,目撃者（≒ eyewitness）；証人；証拠，証言
target1900,sum,（金）額；合計；要点
target1900,burden,負担；（重い）義務；積み荷
target1900,honor,光栄；名誉（⇔ dishonor 不名誉）；敬意
target1900,award,（～の）賞（for）；（証書などの）授与
target1900,priority,優先（事項）
target1900,logic,論理；道理；論理学
target1900,minimum,最小限度（⇔ maximum ⇒ 965）
target1900,exception,（～の）例外（to）
target1900,clue,（～の）手がかり（to / about）；（パズルの）ヒント
target1900,bond,絆；債券；束縛；接着剤
target1900,virus,ウイルス；（感染症の）病原体
target1900,insurance,保険；保険料；保険金
target1900,frame,枠，（額）縁；骨組み；体格
target1900,shelter,避難（所），保護
target1900,territory,領土；（活動の）領域；（動物の）テリトリー
target1900,boundary,境界（線）；〔通例～ries〕限界
target1900,habitat,生息地；（人の）居住地
target1900,district,地区；行政区
target1900,conservation,（動植物などの）保護；保存
target1900,harvest,収穫（物）；収穫期；漁獲高
target1900,predator,捕食動物；略奪者
target1900,trap,わな；苦境
target1900,fault,〔通例one's ～〕責任；欠点；誤り
target1900,discount,割引
target1900,bias,偏見；傾向
target1900,cooperation,協力，共同
target1900,patent,特許（権）；特許品
target1900,component,構成要素；部品
target1900,reputation,評判；名声
target1900,verbal,言葉の；口頭での；動詞の
target1900,internal,内部の（⇔ external ⇒ 989）；国内の；内面的な
target1900,solid,しっかりした；硬い；固体の
target1900,remote,（～から）遠く離れた（from）；かけ離れた
target1900,principal,主要な；資本金の
target1900,sophisticated,高性能の，精巧な；洗練された
target1900,equivalent,等しい，相当する
target1900,rational,理性的な；合理的な
target1900,relevant,関係がある；適切な
target1900,absolute,絶対的な（⇔ relative 相対的な）
target1900,frequent,頻繁な
target1900,permanent,永続的な（⇔ temporary ⇒ 793）
target1900,intense,強烈な；熱烈な
target1900,meaningful,意味のある
target1900,evil,邪悪な；有害な
target1900,extinct,絶滅した；廃止された
target1900,random,無作為の；手当たり次第の
target1900,raw,生の；未加工の
target1900,rude,無礼な（⇔ polite 礼儀正しい）；粗野な
target1900,mere,単なる，ほんの
target1900,tropical,熱帯の
target1900,possess,を所有している；の心をとらえる
target1900,dominate,を支配する；（～より）優勢である（over）
target1900,guarantee,を保証する
target1900,melt,溶ける；なごむ；を溶かす
target1900,embarrass,に恥ずかしい思いをさせる
target1900,discourage,（人）にやる気をなくさせる；を落胆させる（⇔ encourage ⇒ 30）
target1900,detect,を感知する；を見つけ出す；に気づく
target1900,devote,をささげる
target1900,urge,に（強く）促す；を強く主張する；を駆り立てる
target1900,lend,を貸す（⇔ borrow を借りる）；（人）に（助言・援助など）を与える
target1900,restrict,を制限する
target1900,isolate,を孤立させる
target1900,accompany,に同行する；に付随する
target1900,exhaust,を疲れ果てさせる；を使い尽くす；排気する
target1900,annoy,を悩ます；〔受身形で〕腹が立つ
target1900,endanger,を危険にさらす
target1900,acknowledge,（事実など）を認める（≒ admit ⇒ 406）；に謝意を表す
target1900,admire,に（～のことで）敬服［感心］する（for）
target1900,evaluate,を評価する；を査定する
target1900,declare,を宣言する；を申告する
target1900,secure,を確保する；を守る
target1900,specialize,専門とする；【英】（～を）専攻する（in）（≒ 【米】major）
target1900,attribute,（結果など）を（～に）帰する（to）
target1900,pretend,（の）ふりをする
target1900,bury,を埋める；を埋葬する；を隠す
target1900,reverse,を逆転させる；を反対にする
target1900,resist,に抵抗する；〔通例否定文で〕を我慢する
target1900,scare,をおびえさせる；を脅す
target1900,imitate,をまねる；を模造する
target1900,assist,（を）援助する；を手伝う
target1900,resemble,に似ている
target1900,retire,（～から）引退する，退職する（from）；退く
target1900,neglect,をおろそかにする，怠る；を無視する
target1900,collapse,崩壊する；（人が）倒れる；を折り畳む
target1900,reform,を改革する；を改心させる
target1900,protest,（に）抗議する；を主張する
target1900,owe,に借りがある；のおかげである
target1900,sustain,を持続させる；を支える
target1900,assign,を割り当てる；を（～に）配属する（to）
target1900,accomplish,を成し遂げる
target1900,wisdom,知恵；賢明さ；学識
target1900,heritage,遺産
target1900,mission,使命；（外交）使節団；布教
target1900,license,免許（証）；許可
target1900,elite,〔通例the ～〕〔集合的に〕エリート
target1900,layer,層
target1900,protein,たんぱく質
target1900,profession,職業；専門職；同業者仲間
target1900,editor,編集者；編集長
target1900,agent,仲介者，代理人；薬剤
target1900,globe,地球（≒ earth）；世界；球
target1900,haven,避難所，保護区；港
target1900,row,列；（建物が並ぶ）通り
target1900,sacrifice,犠牲；いけにえ
target1900,means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入
target1900,session,集まり；（議会の）会期；（開会中の）議会
target1900,league,（競技）連盟；同盟
target1900,guard,警備員；警備隊；監視，警戒
target1900,opponent,（試合・論争などの）相手；反対者
target1900,glance,（～を）ちらっと見ること（at）
target1900,divorce,離婚；分離
target1900,tissue,（生物の）組織；ティッシュペーパー
target1900,liquid,液体
target1900,prejudice,（～に対する）偏見（against）（≒ bias）
target1900,justice,公正，正義；司法
target1900,glacier,氷河
target1900,usage,（使）用法；語法；習慣
target1900,fortune,財産；幸運（≒ luck）；運命
target1900,artistic,芸術的な
target1900,literary,文学の；文語の（⇔ colloquial 口語体の）
target1900,concrete,具体的な（⇔ abstract ⇒ 586）；有形の
target1900,slight,わずかな；取るに足らない
target1900,federal,連邦（政府）の
target1900,primitive,原始的な；未開の
target1900,subtle,微妙な；（気体などが）希薄な
target1900,plain,明らかな；平易な；飾りのない；率直な
target1900,marine,海の；船舶の
target1900,apparent,明白な；一見～らしい
target1900,reluctant,気が進まない，嫌がる（⇔ willing ⇒ 298）
target1900,temporary,一時的な（⇔ permanent ⇒ 690）
target1900,guilty,罪悪感のある；（～について）有罪の（of）
target1900,royal,王の
target1900,pure,純粋な；潔白な；まったくの
target1900,incredible,信じられない；すばらしい
target1900,eager,（～を）熱望して（for）；熱心な
target1900,adequate,十分な；適切な（⇔ inadequate 不適切な）
target1900,assess,を評価する；を査定する
target1900,approve,賛成する；を承認する
target1900,remark,と述べる；（～について）意見を述べる（on / upon）
target1900,pose,（危険）を引き起こす；（問題など）を提起する；ポーズをとる；（～を）装う（as）
target1900,yield,をもたらす；を（～に）譲る（to）；（～に）屈する（to）
target1900,exhibit,を示す，見せる；を展示する
target1900,distribute,を（～に）分配する（to）；〔受身形で〕分布する
target1900,command,を命じる；を指揮する；（景色）を見渡せる
target1900,occupy,（空間・時間）を占める；を占領する
target1900,pile,を積み重ねる；積み重なる
target1900,greet,に挨拶する；を迎える
target1900,apologize,（～に；～のことで）謝る（to；for）；弁明する
target1900,frustrate,をいら立たせる；（計画・希望など）を挫折させる
target1900,relieve,を和らげる；〔受身形で〕（...して）安心する（to do）；を解放する
target1900,derive,由来する；を引き出す；を推論する
target1900,deserve,に値する
target1900,peer,（～を）じっと見る（at / into）
target1900,defeat,を負かす（≒ beat）；を失敗させる
target1900,convert,を変える；を改宗［転向］させる；を交換する
target1900,delight,を喜ばせる；（～を）大いに喜ぶ（in）
target1900,boost,を押し上げる；を増加させる
target1900,endure,に耐える（≒ put up with）；（に）持ちこたえる
target1900,correspond,一致する；（～に）相当する（to）；文通する
target1900,impose,を課す；を押しつける
target1900,rescue,を救う
target1900,resolve,を解決する；を決意する；を議決する
target1900,register,を記録する，登録する；（～に）登録する（for）
target1900,interrupt,を中断させる；（の）邪魔をする
target1900,prohibit,を禁止する
target1900,compose,を構成する；を創作する；を鎮静する
target1900,misunderstand,（を）誤解する
target1900,punish,を罰する；に損傷を与える
target1900,ruin,をだめにする；を破滅させる；破滅する
target1900,defend,を防御する；を弁護する
target1900,embrace,を受け入れる；（を）抱擁する；を包含する
target1900,modify,を修正する；を緩和する
target1900,qualify,（人）に資格を与える；資格がある
target1900,passion,情熱；熱中；激怒
target1900,enthusiasm,（～への）熱情，熱意（for）
target1900,phase,段階，局面；側面
target1900,mode,方式；気分；形態；流行
target1900,span,期間；範囲
target1900,gravity,重力，引力；重量；重大さ
target1900,orbit,軌道；（活動・勢力などの）範囲
target1900,asteroid,小惑星（≒ minor planet）；ヒトデ（＝ starfish）
target1900,core,核心；芯
target1900,nerve,神経；〔～s〕神経過敏；（...する）度胸（to do）
target1900,infection,感染（症）
target1900,grocery,〔～ies〕食料雑貨；食料雑貨店
target1900,instinct,本能；勘，直感；（自然に起こる）衝動
target1900,faith,（～への）信頼（in）；信仰（心）
target1900,courage,勇気
target1900,incentive,動機（づけ）；報奨金
target1900,prospect,見込み；〔～s〕（未来への）展望；有望な人
target1900,obstacle,（～に対する）障害（物）（to）
target1900,architecture,建築；建築様式；構造
target1900,stem,（草木の）茎，幹
target1900,illusion,錯覚，思い違い；幻想
target1900,discrimination,（～に対する）差別（against）；区別
target1900,shame,恥；残念なこと
target1900,drought,干ばつ；（慢性的な）不足
target1900,flavor,風味；特色
target1900,portion,部分；1人前；割り当て
target1900,recipe,調理法，レシピ；手順；秘訣
target1900,luxury,ぜいたく（品）；〔形容詞的に〕豪華な
target1900,ritual,儀式；（日常の）習慣的行為
target1900,prefecture,（日本の）県，府；（フランスなどの）県
target1900,council,（地方）議会；評議会；（公の）会議
target1900,administration,管理（部）；行政；政府（機関）
target1900,precious,貴重な；高価な（≒ valuable）
target1900,generous,寛大な；気前のよい（⇔ stingy けちな）；豊富な
target1900,casual,何気ない；形式ばらない
target1900,optimistic,楽観的な（⇔ pessimistic ⇒ 1593）
target1900,rough,粗い；大まかな；乱暴な
target1900,Arctic,北極の（⇔ Antarctic 南極の）
target1900,ultimate,究極の
target1900,deaf,耳が聞こえない（≒ hard of hearing）
target1900,genuine,"本物の（≒ authentic ⇒ 1580, real）；偽りのない"
target1900,manual,体［手］を使う；手の；手動式の
target1900,mechanical,機械の；機械的な
target1900,spare,余分の，予備の
target1900,immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）
target1900,harsh,厳しい；（光・色・味などが）不快な
target1900,collective,集団の，共同の
target1900,inevitable,避けられない
target1900,profound,重大な；深い；難解な
target1900,steady,着実な，一定の；安定した
target1900,mature,成熟した（⇔ immature 未熟な）；熟した
target1900,likewise,同様に（≒ in the same way）
target1900,chase,（を）追跡する；（を）追求する
target1900,sue,を告訴する；（～を求めて）訴訟を起こす（for）
target1900,gaze,じっと見る
target1900,load,に積む；に負わせる
target1900,overwhelm,を圧倒する；を（精神的に）打ちのめす
target1900,wander,歩き回る；それる；はぐれる
target1900,float,漂う，浮かぶ；を浮かべる
target1900,pour,を注ぐ；激しく降る；押し寄せる
target1900,substitute,を代わりに使う；（～の）代理をする（for）
target1900,pronounce,を発音する；を宣言する
target1900,shrink,縮む，縮小する；減少する；ひるむ
target1900,restore,を回復させる；を修復する
target1900,trigger,を引き起こす；のきっかけとなる
target1900,grab,をつかむ；を横取りする；を急いで食べる
target1900,retain,を保持する；を覚えている
target1900,reproduce,を複製する；を繁殖させる；繁殖する
target1900,entertain,を楽しませる；をもてなす
target1900,interfere,干渉する，介入する；邪魔する
target1900,cultivate,を養う；を耕す；を栽培する
target1900,underlie,の根底にある
target1900,anticipate,を予期する；楽しみに待つ
target1900,justify,を正当化する
target1900,regulate,を規制する；を調整する
target1900,scan,を走査［スキャン］する；をざっと見る；を注意深く調べる
target1900,classify,を分類する；を機密扱いにする
target1900,submit,を提出する；〔submit oneselfで〕（～に）従う（to）
target1900,lean,傾く；寄りかかる；をもたせかける
target1900,bump,ぶつかる；をぶつける
target1900,fold,を折り畳む；（両腕）を組む；（折り）畳める
target1900,hesitate,躊躇する，ためらう
target1900,mount,を据えつける；に着手する；（自転車など）に乗る；増える
target1900,exceed,を超える；に勝る
target1900,confront,に立ち向かう；（困難などが）に立ちはだかる
target1900,consult,（に）相談する；を参照する
target1900,fulfill,を実現させる；を果たす；を満たす
target1900,privilege,特権，特典
target1900,formation,形成；構成（物）；隊列
target1900,dimension,側面，局面；次元；寸法
target1900,sensation,感覚；大評判
target1900,geography,〔the ～〕地理；地理学
target1900,semester,【主に米】 （2学期制の）学期
target1900,mill,製造工場；製粉所；粉ひき機
target1900,abuse,乱用；虐待
target1900,vice,（道徳上の）悪（⇔ virtue ⇒ 1078）；欠点
target1900,fate,運命；結末；最期
target1900,tragedy,悲劇（的な事態）（⇔ comedy 喜劇）
target1900,wound,（銃弾・刃物などによる）傷；痛手
target1900,metaphor,隠喩；比喩
target1900,fare,（乗り物の）料金
target1900,transition,移り変わり；過渡期
target1900,maximum,最大限（⇔ minimum ⇒ 653）
target1900,galaxy,星雲，銀河；〔the G～〕銀河系
target1900,mineral,鉱物；ミネラル
target1900,skeleton,骨格；骨組み；概略
target1900,counterpart,相当する物［人］
target1900,stroke,脳卒中；（ボールを）打つこと；（雷などの）一撃
target1900,pedestrian,歩行者
target1900,trail,（野山などの）小道；跡；手がかり
target1900,ecology,生態学；生態系；環境保護
target1900,sibling,きょうだい（の1人）
target1900,ratio,比率
target1900,mixture,混合（物）
target1900,charm,魅力；お守り
target1900,ambition,（～に対する）願望，野望（for）；野心
target1900,prominent,卓越した；目立つ
target1900,radical,急進的な；根本的な
target1900,prompt,即座の，迅速な
target1900,informal,形式ばらない，略式の（⇔ formal 正式の）；（言葉が）くだけた
target1900,mutual,相互の；共通の
target1900,neutral,中立の；（特徴・表情などが）はっきりしない
target1900,alert,警戒して；敏速な
target1900,polar,極地の；電極の
target1900,fluent,流ちょうな
target1900,external,外部の（⇔ internal ⇒ 680）；対外的な
target1900,passive,受動的な；消極的な
target1900,awful,ひどい；嫌な；ものすごい
target1900,cruel,残酷な；むごい
target1900,fake,偽の；見せかけだけの
target1900,vulnerable,（攻撃などに）弱い，もろい；傷つきやすい
target1900,urgent,緊急の
target1900,spiritual,精神の（⇔ material ⇒ 73）；霊的な
target1900,modest,謙虚な（≒ humble）；適度な；質素な
target1900,keen,熱心な；鋭敏な；（感情・関心などが）強い
target1900,negotiate,交渉する；を（交渉して）取り決める
target1900,grasp,を把握［理解］する；をしっかり握る
target1900,arrest,を逮捕する；を止める；（注意）を引く
target1900,crack,ひびが入る；にひびを入れる
target1900,tap,を軽くたたく；（液体）を出す；を盗聴する
target1900,split,を分割する；を分担する；分裂する
target1900,forecast,を予想［予測］する
target1900,exclude,を除外する（⇔include を含む）
target1900,overlook,を見落とす；を大目に見る；を見渡す
target1900,burst,破裂する；（～を）突然始める（into）
target1900,heal,（人・傷など）を治す；治る
target1900,forbid,を禁じる（⇔permit 許可する）
target1900,install,をインストールする；を設置する；を就任させる
target1900,diminish,を減らす；減少する（≒decrease）
target1900,cite,を引き合いに出す；を引用する
target1900,quote,を引用する；を引き合いに出す
target1900,dispute,に異議を唱える；（を）議論する
target1900,distract,（注意など）をそらす
target1900,cheat,をだます；不正をする
target1900,foster,をはぐくむ；を養育する；を心に抱く
target1900,obey,に従う；に服従する
target1900,bend,を曲げる；を屈服させる；曲がる
target1900,deprive,から（権利などを）奪う
target1900,govern,（を）統治する、支配する
target1900,log,〔log onで〕ログオンする；を記録する
target1900,transmit,を伝える；（電波・信号など）を送る
target1900,bully,をいじめる；を脅す
target1900,leap,跳ぶ；さっと動く；急上昇する
target1900,astonish,を驚かす
target1900,thrill,をぞくぞくさせる；わくわくする
target1900,nod,うなずく；会釈する；うとうとする
target1900,bow,おじぎする；屈服する
target1900,blend,を混ぜる；を調和させる；（～に）溶け込む（into）
target1900,complicate,を複雑にする
target1900,pitch,を投げる；倒れる；縦揺れする
target1900,persist,続く；固執する
target1900,dedicate,をささげる；を献呈する
target1900,equip,に備えつける
target1900,premise,前提；〔～s〕（建物を含めた）構内、敷地
target1900,merit,利点（⇔demerit 欠点）；功績；真価
target1900,sympathy,同情；（～に対する）共感（with/for）
target1900,compliment,賛辞；表敬
target1900,infrastructure,インフラ、基本的施設；（経済）基盤
target1900,ray,光線；ひらめき、一筋の光明
target1900,distress,苦悩；苦痛；困窮
target1900,joint,関節；接合（部）
target1900,expedition,遠征（隊）、探検（隊）
target1900,adolescent,青年；青年期の
target1900,shade,（日）陰；色合い；日よけ；微妙な相違
target1900,jury,陪審（員団）；審査員団
target1900,penalty,（刑）罰；罰金；ペナルティー
target1900,faculty,能力、機能；学部；教授陣
target1900,scheme,計画（≒plan）；体系；陰謀
target1900,nutrition,栄養（の摂取）
target1900,particle,（微）粒子；ほんのわずか
target1900,molecule,分子；微粒子
target1900,nationality,国籍；国民；国民性
target1900,poll,世論調査；投票（数）
target1900,fatigue,疲労（≒exhaustion）
target1900,queue,【英】（順番を待つ）列
target1900,curve,（道路などの）カーブ；曲線
target1900,narrative,物語、話；（小説の）叙述部分、地の文
target1900,fingerprint,指紋
target1900,wilderness,荒野；（庭・町などの）放置された部分
target1900,pesticide,殺虫剤；除草剤（≒herbicide）
target1900,panic,パニック（状態）；狼狽
target1900,fabric,織物、布（地）；構造
target1900,fantasy,空想；幻想；幻想的作品
target1900,fancy,（気まぐれな）好み；空想；思いつき
target1900,virtue,美徳（⇔vice 悪）；長所；効能
target1900,grateful,感謝している
target1900,valid,妥当な；有効な
target1900,elaborate,入念な；凝った
target1900,moderate,適度な；穏健な
target1900,dynamic,活動的な、精力的な；動的な（⇔static 静的な）
target1900,brave,勇敢な（⇔cowardly 臆病な）；見事な
target1900,brilliant,すばらしい；才能にあふれた；きらめく
target1900,tremendous,途方もない、莫大な；すばらしい
target1900,oral,口頭の
target1900,innocent,無罪の（⇔guilty 有罪の）；無邪気な；無知の
target1900,subsequent,その後の
target1900,shallow,浅い（⇔deep 深い）；浅薄な
target1900,indifferent,無関心な（≒uninterested）
target1900,inferior,より劣った（⇔superior よりすぐれた）
target1900,awkward,気まずい；ぎこちない；厄介な
target1900,obese,肥満した
target1900,pregnant,妊娠した；（～で）満ちている（with）
target1900,intimate,親密な；密接な
target1900,medieval,中世の；時代遅れの
target1900,sacred,神聖な（≒holy）；宗教的な；厳粛な
target1900,simultaneously,（～と）同時に（with）；一斉に
target1900,versus,〔A ～ Bで〕A対B；AかBか
target1900,proceed,進む，進行する；（～を）続行する（with）
target1900,bind,を縛る；を束縛する；を結び付ける
target1900,resort,（好ましくない手段に）訴える，頼る（to）
target1900,reinforce,を強化する；を補強する
target1900,accumulate,を蓄積する，集める；積もる
target1900,bet,と確信する，断言する；（金などを）かける
target1900,advocate,を主張する；を擁護する
target1900,constitute,を構成する；になる，に等しい
target1900,undertake,を引き受ける；を保証する；に着手する
target1900,grip,を握る；をとらえる
target1900,dismiss,（意見など）を退ける；を解雇する
target1900,fade,薄れる；衰える
target1900,conceal,を隠す（≒ hide）；を秘密にする（⇔uncover ⇒ 1236）
target1900,chew,（を）かむ；をかみ砕く
target1900,swallow,（を）飲み込む；をうのみにする；に耐える
target1900,seal,を密閉する；に封をする
target1900,exaggerate,（を）誇張する；を強調する
target1900,accuse,を非難する；を告訴する
target1900,vanish,消える（≒ disappear）
target1900,polish,を磨く；を洗練させる
target1900,sweep,（を）掃く；を一掃する；さっと通過する
target1900,spoil,を台無しにする；を甘やかす；だめになる
target1900,compound,を悪化させる；を合成する；を混合する
target1900,explode,爆発する；急増する；を論破する
target1900,disgust,をむかつかせる；に愛想を尽かせる
target1900,commute,通勤［通学］する
target1900,decorate,を装飾する
target1900,postpone,を延期する（≒ put off）
target1900,cease,をやめる；終わる
target1900,compromise,妥協する；を危うくする
target1900,elect,を選出する
target1900,inherit,を受け継ぐ；を相続する
target1900,rear,（人・動物・植物）を育てる（≒ raise）
target1900,cue,合図；手がかり；（次の演技の）キュー
target1900,enterprise,企業，事業；企画；進取の気性
target1900,output,生産（高）；出力；排出（量）
target1900,congress,（米国などの）議会；会議
target1900,millennium,千年間，千年紀
target1900,mankind,人類
target1900,estate,（動産・不動産などの）財産；私有地
target1900,caution,用心；警告
target1900,controversy,論争
target1900,consensus,総意；（意見の）一致
target1900,retail,小売り（⇔ wholesale 卸売り）
target1900,fiber,繊維（質）；本質；精神力
target1900,scent,（よい）香り；香水
target1900,beverage,（水以外の）飲み物，飲料
target1900,supplement,栄養補助剤，サプリメント；補足
target1900,diabetes,糖尿病
target1900,province,州，省；〔the ～s〕地方；分野
target1900,reef,（岩や砂の）礁；暗礁
target1900,microbe,微生物；細菌
target1900,excess,過剰，超過
target1900,gallery,美術館，画廊；観客，ギャラリー；回廊
target1900,fame,名声
target1900,deadline,締め切り
target1900,undergraduate,学部学生
target1900,slavery,奴隷制度；苦役
target1900,prey,獲物；犠牲者
target1900,mess,散らかった状態［物］；混乱状態
target1900,recession,不況；後退
target1900,retreat,後退，退却；（計画・決定などの）撤回
target1900,grave,墓；〔通例the ～〕死
target1900,column,コラム；（聞などの）欄；円柱；（縦）列
target1900,scenery,〔集合的に〕景色；背景
target1900,plot,（小説などの）筋；陰謀
target1900,sculpture,彫刻（作品）
target1900,tablet,タブレット（型情報端末）；錠剤；平板
target1900,dense,密集した，密度の高い；（霧などが）濃い
target1900,exotic,外来の；異国風の
target1900,acid,酸性の；酸っぱい；辛辣な
target1900,bitter,苦い，つらい；辛辣な；怒りっぽい
target1900,sensible,賢明な；実用的な；顕著な
target1900,noble,高貴な；堂々とした；高潔な
target1900,vague,漠然とした，あいまいな；おぼろげな
target1900,parallel,（～と）平行［並行］の（to）；類似した
target1900,tense,張り詰めた，緊張した
target1900,vertical,垂直の（⇔ horizontal 水平な）；縦方向の
target1900,indigenous,原産の，先住の；（その土地に）固有の
target1900,abundant,豊富な；（～に）富む（in）
target1900,hybrid,ハイブリッドの；雑種の；混成の
target1900,irrelevant,（～にとって）無関係の（to）；見当違いの
